,ori,data_year,offense,state_abbr,cleared,actual
17,AK0012000,2016,violent-crime,AK,25,34
18,AK0012100,2016,violent-crime,AK,1,4
19,AK0012200,2016,violent-crime,AK,9,10
0,AK0010100,2017,violent-crime,AK,1650,3780
1,AK0010200,2017,violent-crime,AK,85,205
2,AK0010300,2017,violent-crime,AK,212,303
3,AK0010400,2017,violent-crime,AK,14,34
4,AK0010500,2017,violent-crime,AK,24,60
5,AK0010600,2017,violent-crime,AK,49,59
6,AK0010700,2017,violent-crime,AK,1,4
7,AK0010800,2017,violent-crime,AK,5,11
8,AK0010900,2017,violent-crime,AK,13,14
9,AK0011000,2017,violent-crime,AK,0,0
10,AK0011100,2017,violent-crime,AK,6,8
11,AK0011200,2017,violent-crime,AK,5,12
12,AK0011300,2017,violent-crime,AK,5,91
13,AK0011400,2017,violent-crime,AK,0,0
14,AK0011600,2017,violent-crime,AK,104,121
15,AK0011700,2017,violent-crime,AK,16,20
16,AK0011800,2017,violent-crime,AK,0,173
17,AK0012000,2017,violent-crime,AK,16,33
18,AK0012100,2017,violent-crime,AK,1,7
19,AK0012200,2017,violent-crime,AK,3,11
0,AK0010100,2018,violent-crime,AK,1941,3824
1,AK0010200,2018,violent-crime,AK,121,193
2,AK0010300,2018,violent-crime,AK,175,264
3,AK0010400,2018,violent-crime,AK,16,25
4,AK0010500,2018,violent-crime,AK,16,48
5,AK0010600,2018,violent-crime,AK,68,103
6,AK0010700,2018,violent-crime,AK,5,10
7,AK0010800,2018,violent-crime,AK,3,6
8,AK0010900,2018,violent-crime,AK,23,21
9,AK0011000,2018,violent-crime,AK,0,0
10,AK0011100,2018,violent-crime,AK,0,1
11,AK0011200,2018,violent-crime,AK,2,5
12,AK0011300,2018,violent-crime,AK,5,99
13,AK0011400,2018,violent-crime,AK,6,6
14,AK0011600,2018,violent-crime,AK,76,106
15,AK0011700,2018,violent-crime,AK,24,26
16,AK0011800,2018,violent-crime,AK,88,148
17,AK0012000,2018,violent-crime,AK,16,18
18,AK0012100,2018,violent-crime,AK,1,3
19,AK0012200,2018,violent-crime,AK,3,12
